accident_mechanism,total_accidents,severe_cases,severity_rate,severe_share_%,cumulative_severe_%
Collision - stationary vehicle,416016,64632,0.15535940925349026,22.621460146791687,22.621460146791687
Other accident,249769,50148,0.20077751842702657,17.552001848021252,40.17346199481294
Leaving carriageway (right),124992,38288,0.30632360471070147,13.400954110972277,53.57441610578522
Collision - oncoming vehicle,109557,30456,0.277992277992278,10.659722586809748,64.23413869259497
Collision - vehicle vs pedestrian,120214,28078,0.23356680586287787,9.827413015249675,74.06155170784464
Collision - lateral same direction,252425,24704,0.09786669307715162,8.6464994347435,82.70805114258815
Leaving carriageway (left),76166,23453,0.3079195441535593,8.208644399410593,90.91669554199873
Collision - turning/crossing vehicle,84994,12542,0.1475633574134645,4.389750482130545,95.30644602412929
Collision - vehicle ahead,88732,9884,0.11139160618491638,3.459439783557511,98.7658858076868
Collision - obstacle in carriageway,16384,3526,0.2152099609375,1.2341141923132115,100.00000000000001
